sku,product_name,category,supplier,warehouse,quantity_in_stock,reorder_level,unit_cost,selling_price,last_restock_date,expiry_date,shelf_life_days,barcode,is_perishable,storage_temp,dead_column
SKU-81745,Garri 10kg,Cereals,PZ Cussons,PHC Dockyard,3229,288,549.17,2313.06,29-12-2023,2024-08-25,427,7433495070446,0,Chilled,
SKU-33500,Groundnut Oil,Staples,Nestle Nigeria,Kano Industrial,3794,340,730.73,6434.76,20-06-2023,2024-11-16,708,4367600677097,0,ambient,
SKU-25141,Milo 1kg,Staples,Chi Ltd,Abuja Gwagwa,3394,264,4059.58,8362.97,17-08-2023,2024-09-13,489,2315021585561,1,Chilled,
SKU-70260,Sugar 1kg,,Innoson Motors,Abuja Gwagwa,1841,112,3707.21,4365.1,04-10-2023,2025-03-14,684,8581031894142,0,ambient,
SKU-76705,Groundnut Oil,Condiments,PZ Cussons,Abuja Gwagwa,460,138,1263.34,1987.09,27-12-2023,2024-07-13,305,5018406642722,Yes,Chilled,
SKU-98381,Semovita 5kg,Cereals,Honeywell,PHC Dockyard,4138,487,2337.54,33155.76,07-11-2023,2025-12-02,302,4361663815743,1,,
SKU-39572,Rice 50kg,Cereals,Dangote Flour,PHC Dockyard,4950,350,5416.23,6546.54,03-09-2023,2025-02-06,586,2374772366764,Yes,Chilled,
SKU-18922,Tomato Paste,Staples,Innoson Motors,Abuja Gwagwa,45,329,4649.31,12009.63,20-01-2023,2024-10-07,648,8189547858768,yes,Chilled,
SKU-18781,Milk Tin,Cereals,Innoson Motors,PHC Dockyard,4010,311,1883.78,14904.53,24-03-2023,2024-12-25,678,9404190187874,Yes,Frozen,
SKU-91463,Rice 50kg,,PZ Cussons,Lagos Apapa,4370,267,1506.24,4639.54,08-03-2023,2024-01-04,598,5613540639247,No,Frozen,
SKU-67888,Rice 50kg,Cereals,Dangote Flour,Abuja Gwagwa,814,418,665.78,,02-08-2023,2025-03-24,580,7744772324590,yes,,
SKU-11349,Milk Tin,Beverages,Dangote Flour,Lagos Apapa,3982,337,6249.07,,08-02-2023,2025-07-20,570,5637397864526,yes,Frozen,
SKU-20208,Milk Tin,Cereals,Dangote Flour,Abuja Gwagwa,69,119,250.04,9005.4,09-05-2023,2024-07-08,5,4434628678541,1,Ambient,
SKU-57474,Tomato Paste,,Innoson Motors,Lagos Apapa,2908,141,4103.11,2990.69,06-05-2023,2024-07-02,598,3996786238995,Yes,Frozen,
SKU-69729,Garri 10kg,Beverages,Innoson Motors,Lagos Apapa,2395,296,5841.97,12285.78,01-05-2023,2025-06-10,617,,1,Frozen,
SKU-26192,Palm Oil 3.8L,Condiments,Innoson Motors,Abuja Gwagwa,1965,467,8651.82,1910.76,20-11-2023,2025-08-27,410,7134078999448,Yes,,
SKU-16286,Palm Oil 3.8L,Condiments,Honeywell,PHC Dockyard,2770,174,2903.16,3601.67,24-05-2023,2024-01-03,585,4600037969158,No,AMBIENT,
SKU-78472,Groundnut Oil,,Dangote Flour,Lagos Apapa,4248,324,6126.4,2954.04,31-03-2023,2024-08-07,124,,0,AMBIENT,
SKU-74976,Sugar 1kg,Condiments,Dangote Flour,Lagos Apapa,2044,118,1382.31,7082.91,03-11-2023,2023-12-31,456,2736506744932,No,Chilled,
SKU-86171,Rice 50kg,,Honeywell,Abuja Gwagwa,2401,449,2615.14,4144.74,14-03-2023,2025-07-05,162,2124210934295,Yes,,
SKU-91129,Garri 10kg,Condiments,PZ Cussons,Kano Industrial,2605,207,3113.34,9712.57,31-07-2023,2024-04-24,207,1877490517967,Yes,Frozen,
SKU-62802,Rice 50kg,Condiments,Dangote Flour,Lagos Apapa,366,297,2322.11,7641.35,28-08-2023,2024-02-15,333,,yes,AMBIENT,
SKU-59721,Milo 1kg,Staples,Nestle Nigeria,Kano Industrial,1159,307,5011.09,2162.13,27-11-2023,2024-12-06,539,4395962446191,1,,
SKU-91031,Milk Tin,Condiments,Chi Ltd,PHC Dockyard,4886,111,12225.28,1817.74,21-05-2023,2025-06-13,633,6930737394331,0,Ambient,
SKU-26119,Tomato Paste,Cereals,Innoson Motors,Lagos Apapa,271,133,1964.44,13066.71,23-02-2023,2024-03-19,10,4251244950403,No,,
SKU-25972,Sugar 1kg,Staples,Dangote Flour,Kano Industrial,3113,413,6134.42,4707.95,21-11-2023,2024-08-30,623,,Yes,Frozen,
SKU-66572,Garri 10kg,Cereals,Innoson Motors,Kano Industrial,716,256,17767.33,10389.64,16-07-2023,2025-04-21,22,9294370501530,No,AMBIENT,
SKU-84696,Milk Tin,Cereals,Dangote Flour,Lagos Apapa,1708,281,2904.96,9552.8,19-01-2023,2023-12-06,-2,,Yes,Frozen,
SKU-94540,Milk Tin,,Honeywell,PHC Dockyard,1279,358,9935.97,7898.49,20-05-2023,2024-03-19,187,6922921433089,0,Frozen,
SKU-94558,Semovita 5kg,Staples,Chi Ltd,Abuja Gwagwa,4863,304,5865.03,15224.12,04-12-2023,2024-10-12,613,3809166490028,1,,
SKU-88710,Indomie Carton,Beverages,Dangote Flour,PHC Dockyard,4758,95,2910.18,1414.63,23-08-2023,2025-05-10,17,2861878730957,No,Ambient,
SKU-91244,Garri 10kg,Staples,Dangote Flour,PHC Dockyard,372,179,5041.34,10406.08,21-06-2023,2024-09-01,280,9200548225277,yes,AMBIENT,
SKU-67690,Semovita 5kg,Beverages,Chi Ltd,Abuja Gwagwa,2981,163,4409.18,1570.46,05-12-2023,2024-03-18,464,5057913368153,No,Frozen,
SKU-41846,Milo 1kg,Staples,Chi Ltd,Lagos Apapa,828,357,1299.07,,02-01-2023,2024-08-16,42,5886525998677,Yes,ambient,
SKU-51508,Milk Tin,,Nestle Nigeria,PHC Dockyard,3310,52,5073.68,18198.04,13-09-2023,2024-11-15,626,7248743519112,yes,,
SKU-29367,Indomie Carton,,Nestle Nigeria,PHC Dockyard,2883,345,2024.14,9000.69,29-07-2023,2025-08-30,293,7716275435056,No,Chilled,
SKU-56378,Semovita 5kg,Cereals,PZ Cussons,Lagos Apapa,1014,214,11694.11,4943.9,03-08-2023,2025-01-31,616,,0,Chilled,
SKU-68420,Sugar 1kg,Cereals,PZ Cussons,Abuja Gwagwa,1249,193,379.67,7602.39,20-07-2023,2025-04-28,567,8587972349094,No,ambient,
SKU-20751,Milo 1kg,Staples,PZ Cussons,PHC Dockyard,1923,302,2875.23,4194.12,24-10-2023,2024-04-15,291,6707349788602,Yes,AMBIENT,
SKU-57814,Milk Tin,Beverages,Chi Ltd,Abuja Gwagwa,1368,78,24567.3,20103.12,29-06-2023,2025-06-06,233,6977711184226,0,Frozen,
SKU-37408,Tomato Paste,Condiments,Dangote Flour,Lagos Apapa,2718,281,1101.66,4373.4,14-12-2023,2024-08-27,482,6621236960666,1,AMBIENT,
SKU-35438,Milk Tin,Staples,Dangote Flour,Kano Industrial,61,197,4498.81,1933.92,06-02-2023,2025-05-03,380,6214719054811,Yes,AMBIENT,
SKU-67114,Indomie Carton,,Honeywell,Abuja Gwagwa,4413,347,3703.01,1372.43,20-10-2023,2024-02-16,-9,9940867551960,0,,
SKU-30200,Semovita 5kg,Cereals,Innoson Motors,Abuja Gwagwa,1804,327,5711.02,4371.81,29-09-2023,2024-11-06,194,4913000026396,No,Chilled,
SKU-10231,Rice 50kg,Cereals,Innoson Motors,Lagos Apapa,1203,395,11220.1,,12-02-2023,2025-03-01,184,9391660520497,1,Frozen,
SKU-68409,Rice 50kg,Staples,Honeywell,Lagos Apapa,1994,270,12730.41,4336.71,29-06-2023,2025-01-04,-9,1748308838756,1,Ambient,
SKU-23264,Palm Oil 3.8L,,Dangote Flour,PHC Dockyard,757,376,1470.3,2730.2,09-07-2023,2024-04-04,625,3285464170600,No,Ambient,
SKU-13441,Milk Tin,,Honeywell,Lagos Apapa,3702,306,5821.54,9712.09,09-11-2023,2024-05-10,617,,1,Ambient,
SKU-94735,Rice 50kg,Condiments,Chi Ltd,Abuja Gwagwa,1758,24,2111.52,5967.6,16-10-2023,2025-10-31,426,8583479527341,0,Frozen,
SKU-76299,Groundnut Oil,Beverages,Dangote Flour,Lagos Apapa,1837,416,2225.86,1142.05,06-05-2023,2024-10-19,557,1275964371790,No,AMBIENT,
SKU-51680,Groundnut Oil,Cereals,PZ Cussons,PHC Dockyard,1356,289,1091.76,20723.66,26-03-2023,2025-08-19,721,1919876563786,0,Chilled,
SKU-16374,Milo 1kg,Beverages,Honeywell,Kano Industrial,2957,18,538.96,1732.13,28-10-2023,2024-10-27,171,1689432072316,0,AMBIENT,
SKU-34661,Palm Oil 3.8L,Condiments,Nestle Nigeria,Abuja Gwagwa,2519,458,1313.13,15171.04,22-02-2023,2025-10-17,156,3127069137849,No,Chilled,
SKU-38406,Palm Oil 3.8L,Staples,PZ Cussons,Abuja Gwagwa,4709,181,1526.55,23220.86,28-10-2023,2025-09-29,620,2636208163747,0,Chilled,
SKU-49469,Sugar 1kg,,Chi Ltd,Abuja Gwagwa,2882,257,195.06,2967.1,18-03-2023,2024-04-22,121,2182191650043,1,AMBIENT,
SKU-86835,Tomato Paste,,Dangote Flour,Kano Industrial,3041,209,4402.68,1679.89,18-06-2023,2025-05-26,484,9882215181113,0,ambient,
SKU-23324,Semovita 5kg,Cereals,Chi Ltd,PHC Dockyard,605,246,3937.1,17250.45,13-08-2023,2025-10-08,237,5573896535813,No,ambient,
SKU-81001,Rice 50kg,Condiments,Honeywell,PHC Dockyard,1912,86,11077.98,5998.25,16-05-2023,2024-04-05,314,1651719055026,Yes,Ambient,
SKU-58112,Milk Tin,,Innoson Motors,PHC Dockyard,3492,55,1152.67,20720.16,22-10-2023,2025-04-24,696,4689575102420,No,ambient,
SKU-63615,Sugar 1kg,Staples,Honeywell,PHC Dockyard,3803,273,38553.64,3661.01,17-01-2023,2025-03-17,609,1064023893690,Yes,Chilled,
SKU-49052,Tomato Paste,Staples,Honeywell,Lagos Apapa,65,73,5251.84,29403.97,03-08-2023,2024-01-31,337,9408778465359,No,ambient,
SKU-45138,Tomato Paste,Cereals,Innoson Motors,Kano Industrial,3544,158,752.54,4616.33,02-01-2023,2025-03-02,18,,1,Frozen,
SKU-19590,Garri 10kg,Staples,Innoson Motors,Lagos Apapa,2465,49,577.74,13157.62,12-02-2023,2024-09-12,351,5656462924205,1,Frozen,
SKU-43569,Garri 10kg,Condiments,Dangote Flour,PHC Dockyard,2949,205,3537.17,3713.99,11-07-2023,2025-01-19,546,7107144476276,yes,Chilled,
SKU-30448,Milk Tin,Cereals,Chi Ltd,Kano Industrial,2533,438,10486.52,6369.0,21-08-2023,2024-09-18,681,9688934147275,No,Chilled,
SKU-76987,Palm Oil 3.8L,,Nestle Nigeria,Abuja Gwagwa,4193,293,1726.46,46588.61,24-05-2023,2025-11-23,647,9230058346479,0,,
SKU-85926,Milo 1kg,Condiments,Honeywell,Kano Industrial,4389,102,2990.31,6279.58,26-06-2023,2023-12-29,240,8100909856919,yes,Ambient,
SKU-38028,Sugar 1kg,Cereals,Innoson Motors,Lagos Apapa,4692,340,4683.5,1655.04,12-11-2023,2024-10-04,54,9680478302412,1,Ambient,
SKU-77874,Indomie Carton,Beverages,Dangote Flour,PHC Dockyard,2475,426,3085.81,15595.55,19-05-2023,2024-07-21,451,3341351396045,Yes,Ambient,
SKU-22968,Tomato Paste,,PZ Cussons,Abuja Gwagwa,3954,176,2564.63,1578.57,28-05-2023,2025-12-08,717,6549750262960,yes,ambient,
SKU-66908,Milo 1kg,Condiments,Dangote Flour,Kano Industrial,767,278,685.3,3802.47,01-10-2023,2025-08-13,63,1076623274176,yes,Chilled,
SKU-85317,Tomato Paste,Staples,Chi Ltd,Abuja Gwagwa,2892,98,6468.59,2345.92,14-06-2023,2025-09-27,512,,No,AMBIENT,
SKU-44831,Milk Tin,Beverages,Dangote Flour,Abuja Gwagwa,4763,191,1815.46,16223.87,05-06-2023,2024-10-29,153,9909273531290,1,AMBIENT,
SKU-15646,Milk Tin,Cereals,Dangote Flour,PHC Dockyard,3309,173,12430.35,4378.03,04-06-2023,2025-04-23,709,5624409276363,yes,Ambient,
SKU-58569,Rice 50kg,Beverages,PZ Cussons,Abuja Gwagwa,4104,342,1236.97,4776.15,29-05-2023,2024-11-08,205,9053060754467,0,,
SKU-53134,Milo 1kg,Cereals,Innoson Motors,Kano Industrial,3788,107,2627.14,792.56,02-07-2023,2025-12-19,144,5497696562731,0,AMBIENT,
SKU-99987,Tomato Paste,Staples,Dangote Flour,Lagos Apapa,4471,77,1288.26,32212.7,06-02-2023,2024-12-17,221,6266279539796,1,Ambient,
SKU-93918,Tomato Paste,,Dangote Flour,PHC Dockyard,3874,427,3460.26,2496.54,16-10-2023,2024-04-26,69,1194520411379,1,AMBIENT,
SKU-77513,Milo 1kg,Beverages,Innoson Motors,PHC Dockyard,69,86,7881.51,5765.35,20-11-2023,2025-03-13,242,3734420899849,No,Ambient,
SKU-96650,Sugar 1kg,Staples,Honeywell,Kano Industrial,3794,471,1806.07,7051.59,20-02-2023,2025-09-07,329,3743487578082,Yes,,
SKU-88246,Palm Oil 3.8L,Staples,Innoson Motors,Abuja Gwagwa,4540,90,4971.55,1957.65,10-10-2023,2025-07-15,472,2129068483501,Yes,Ambient,
SKU-95352,Indomie Carton,,Chi Ltd,Abuja Gwagwa,3995,302,381.42,3101.77,05-02-2023,2024-08-24,668,,yes,AMBIENT,
SKU-46021,Groundnut Oil,Condiments,Honeywell,Lagos Apapa,4264,157,2089.34,2716.33,28-10-2023,2024-01-07,436,6242435427833,yes,Ambient,
SKU-23285,Milo 1kg,,Chi Ltd,Kano Industrial,2302,195,4455.45,,08-01-2023,2025-10-18,96,4234576258559,yes,Chilled,
SKU-38563,Indomie Carton,Staples,Nestle Nigeria,Lagos Apapa,523,171,6429.22,3037.45,18-12-2023,2024-06-13,209,7935480430759,No,Ambient,
SKU-21039,Sugar 1kg,,Innoson Motors,Lagos Apapa,3931,54,6739.18,3794.38,31-12-2023,2025-01-03,489,1542470971019,Yes,,
SKU-75303,Groundnut Oil,,Honeywell,PHC Dockyard,2263,229,2250.19,7393.63,14-07-2023,2024-09-11,268,3338620783090,No,Chilled,
SKU-20012,Milo 1kg,Staples,PZ Cussons,Kano Industrial,106,350,779.34,6032.54,25-08-2023,2025-02-12,437,9154812566165,yes,ambient,
SKU-53238,Indomie Carton,Staples,Dangote Flour,Kano Industrial,4898,32,3092.07,2180.51,20-07-2023,2024-06-06,118,4647219317689,yes,ambient,
SKU-73204,Semovita 5kg,,Innoson Motors,Kano Industrial,3366,342,24597.82,4876.82,18-07-2023,2025-06-05,425,7217910554465,yes,Frozen,
SKU-62495,Rice 50kg,,Honeywell,PHC Dockyard,2887,404,7420.37,,27-10-2023,2025-04-24,165,4208491731733,yes,Ambient,
SKU-62141,Indomie Carton,Staples,Dangote Flour,PHC Dockyard,3174,209,1973.18,1101.79,05-07-2023,2025-07-15,331,4844458399380,yes,AMBIENT,
SKU-29557,Groundnut Oil,Condiments,Chi Ltd,Lagos Apapa,1207,412,2573.35,5692.6,28-05-2023,2024-08-07,323,2374496080467,Yes,Frozen,
SKU-81224,Milk Tin,,Honeywell,PHC Dockyard,2894,373,1891.53,,19-11-2023,2025-05-18,132,,No,Chilled,
SKU-33788,Milo 1kg,Condiments,PZ Cussons,Lagos Apapa,4241,285,910.34,3913.42,08-05-2023,2024-01-08,208,6045694591456,1,ambient,
SKU-61786,Palm Oil 3.8L,Cereals,Innoson Motors,Kano Industrial,2377,146,2622.17,5693.07,25-08-2023,2024-08-17,658,3164468988559,No,,
SKU-28772,Semovita 5kg,,Chi Ltd,Kano Industrial,492,176,3155.11,18247.64,24-05-2023,2024-11-29,-10,7004665025815,Yes,,
SKU-62989,Groundnut Oil,Condiments,Dangote Flour,Kano Industrial,3276,266,2627.3,7124.51,02-01-2023,2024-03-11,647,,0,Frozen,
SKU-54492,Rice 50kg,Cereals,Chi Ltd,Lagos Apapa,2666,37,1819.58,4346.33,19-02-2023,2024-12-05,412,6655325037348,1,,
SKU-99421,Rice 50kg,,Honeywell,Abuja Gwagwa,1294,441,1746.52,5306.86,08-01-2023,2025-05-02,96,7113380774413,yes,Ambient,
SKU-32148,Semovita 5kg,Beverages,Nestle Nigeria,PHC Dockyard,2070,494,14223.3,12671.97,03-04-2023,2024-10-27,552,5805888234129,yes,Ambient,
SKU-70581,Milo 1kg,Condiments,Honeywell,Lagos Apapa,431,289,5030.0,695.05,03-07-2023,2025-12-06,440,9226911650164,0,Chilled,
SKU-18753,Indomie Carton,Cereals,Honeywell,Abuja Gwagwa,3156,226,7702.38,9680.15,15-10-2023,2024-06-18,607,1062617933538,0,Ambient,
SKU-47310,Tomato Paste,Cereals,Honeywell,PHC Dockyard,2833,70,2451.39,1052.72,07-03-2023,2024-05-14,195,9270835723877,yes,,
SKU-43218,Groundnut Oil,,Nestle Nigeria,Abuja Gwagwa,2277,499,1206.21,2210.48,21-10-2023,2024-03-08,447,1641910547645,yes,Chilled,
SKU-97768,Sugar 1kg,Beverages,Chi Ltd,Abuja Gwagwa,1795,366,2510.71,1291.82,27-02-2023,2024-10-31,297,4931469142137,Yes,,
SKU-10846,Rice 50kg,Beverages,Innoson Motors,PHC Dockyard,3249,129,280.1,1595.16,25-08-2023,2024-03-27,118,1219828428897,No,ambient,
SKU-30345,Tomato Paste,Beverages,Nestle Nigeria,Abuja Gwagwa,1389,382,3393.21,8901.08,31-01-2023,2025-01-01,111,,0,Chilled,
SKU-32164,Milk Tin,Cereals,Honeywell,Lagos Apapa,507,150,17949.42,10079.27,01-02-2023,2024-12-23,417,6558095759840,1,,
SKU-37794,Garri 10kg,Cereals,PZ Cussons,Lagos Apapa,818,61,7292.18,8698.46,30-09-2023,2024-12-07,247,5284566879450,0,Chilled,
SKU-20097,Groundnut Oil,Cereals,Nestle Nigeria,Kano Industrial,1525,285,1024.92,2923.86,21-02-2023,2023-12-13,330,7927896827202,yes,Chilled,
SKU-16419,Rice 50kg,,Nestle Nigeria,Lagos Apapa,3135,173,1173.84,66590.3,12-01-2023,2025-02-14,41,1794937237045,yes,AMBIENT,
SKU-82526,Tomato Paste,Cereals,Nestle Nigeria,Kano Industrial,4452,366,471.54,,10-04-2023,2024-11-24,724,4096894123056,Yes,AMBIENT,
SKU-12701,Palm Oil 3.8L,Beverages,Chi Ltd,Lagos Apapa,143,16,4306.67,7332.37,02-04-2023,2024-08-24,353,9875889943193,1,Ambient,
SKU-19509,Groundnut Oil,Staples,Chi Ltd,Abuja Gwagwa,4541,56,2929.35,17531.33,21-07-2023,2024-12-20,633,,0,,
SKU-45783,Indomie Carton,,PZ Cussons,Kano Industrial,2464,90,4387.73,4263.49,14-01-2023,2024-01-11,129,3300775662419,1,,
SKU-90176,Tomato Paste,Staples,PZ Cussons,Lagos Apapa,970,406,291.27,2286.55,21-06-2023,2025-04-11,143,9188447222364,0,ambient,
SKU-65405,Rice 50kg,,Nestle Nigeria,Kano Industrial,3590,247,2156.46,8072.13,09-07-2023,2025-10-25,-7,3568228723968,Yes,Chilled,
SKU-65262,Rice 50kg,Beverages,Dangote Flour,Kano Industrial,3766,264,4197.2,4897.8,30-08-2023,2024-08-31,114,6643279883275,Yes,ambient,
SKU-65755,Semovita 5kg,Cereals,Innoson Motors,Lagos Apapa,1267,173,7894.28,8176.81,07-08-2023,2024-04-05,61,8918597645630,0,AMBIENT,
SKU-35194,Garri 10kg,,Chi Ltd,Abuja Gwagwa,1110,33,3576.36,8426.68,11-02-2023,2025-10-06,333,7850974153319,Yes,Ambient,
SKU-26100,Groundnut Oil,Beverages,Honeywell,Lagos Apapa,1384,126,2957.01,3290.41,12-12-2023,2024-10-27,453,,1,ambient,
SKU-85101,Indomie Carton,Cereals,Honeywell,Lagos Apapa,3936,80,3684.92,2386.36,26-10-2023,2023-12-05,556,3248890660897,1,ambient,
SKU-33173,Garri 10kg,Staples,Nestle Nigeria,PHC Dockyard,4300,243,3099.84,,20-03-2023,2024-02-24,346,2467438126868,Yes,Chilled,
SKU-30945,Garri 10kg,Beverages,PZ Cussons,Lagos Apapa,1795,165,4139.28,4886.97,16-05-2023,2024-12-23,665,9703879616458,1,AMBIENT,
SKU-28670,Indomie Carton,Condiments,Chi Ltd,Lagos Apapa,1181,333,2865.16,13725.58,24-04-2023,2025-09-17,276,2813818593579,1,ambient,
SKU-53885,Milo 1kg,Cereals,PZ Cussons,Lagos Apapa,283,485,1448.26,9317.85,04-04-2023,2025-04-21,644,9384426966340,No,Chilled,
SKU-21640,Semovita 5kg,,Chi Ltd,PHC Dockyard,4263,493,4671.09,7954.89,23-04-2023,2025-10-28,142,1969169515645,0,AMBIENT,
SKU-62681,Sugar 1kg,Condiments,Innoson Motors,Lagos Apapa,3664,345,8199.15,10762.06,17-04-2023,2025-11-15,561,1366803408205,No,Frozen,
SKU-50185,Groundnut Oil,Condiments,Innoson Motors,Kano Industrial,3977,176,13967.04,1413.65,29-06-2023,2025-05-31,478,6117509939864,Yes,AMBIENT,
SKU-62853,Indomie Carton,,PZ Cussons,PHC Dockyard,804,220,526.97,7899.55,14-11-2023,2024-05-11,87,9329685747076,Yes,AMBIENT,
SKU-23631,Garri 10kg,Beverages,Honeywell,Lagos Apapa,2170,113,539.26,699.46,15-01-2023,2025-03-09,258,2133715005869,yes,Chilled,
SKU-19010,Tomato Paste,Cereals,Innoson Motors,Kano Industrial,2821,176,2925.89,2745.71,13-04-2023,2024-09-17,425,3399051490048,Yes,Frozen,
SKU-48034,Tomato Paste,Beverages,Dangote Flour,PHC Dockyard,430,386,2046.45,9010.05,18-11-2023,2024-10-29,519,4795666166435,1,ambient,
SKU-80838,Semovita 5kg,Cereals,Nestle Nigeria,Kano Industrial,4191,263,1878.43,2140.0,04-03-2023,2024-07-14,118,3949098694185,No,,
SKU-31079,Milo 1kg,Cereals,Nestle Nigeria,PHC Dockyard,1122,100,7698.88,2579.69,17-07-2023,2024-06-17,482,9067784367249,Yes,Ambient,
SKU-70242,Garri 10kg,,Honeywell,PHC Dockyard,1993,159,985.75,5002.04,12-08-2023,2025-12-27,559,1306800119261,1,Chilled,
SKU-74909,Milo 1kg,,PZ Cussons,Lagos Apapa,991,279,6047.99,13210.81,09-08-2023,2024-04-13,20,3324152331663,No,ambient,
SKU-79822,Semovita 5kg,Staples,Chi Ltd,PHC Dockyard,1275,154,4133.71,53110.48,06-03-2023,2025-09-06,65,,yes,Chilled,
SKU-40304,Milo 1kg,Beverages,Innoson Motors,Lagos Apapa,4583,52,4162.82,7266.16,11-01-2023,2025-08-19,207,3570895315051,yes,Frozen,
SKU-85668,Indomie Carton,Staples,PZ Cussons,Kano Industrial,4511,157,11864.17,641.64,07-02-2023,2025-02-19,327,3519174135583,Yes,Chilled,
SKU-25284,Rice 50kg,Staples,Nestle Nigeria,Lagos Apapa,2939,302,453.84,6849.57,25-03-2023,2024-03-22,250,2484419923433,No,Frozen,
SKU-42332,Tomato Paste,Beverages,Honeywell,Abuja Gwagwa,1764,135,1675.27,4131.03,15-04-2023,2025-01-31,493,7705188831599,Yes,ambient,
SKU-73940,Rice 50kg,Condiments,Dangote Flour,Lagos Apapa,2942,213,6466.54,3211.98,02-12-2023,2025-01-14,605,4312101680389,1,Ambient,
SKU-74664,Garri 10kg,Cereals,Chi Ltd,Kano Industrial,215,359,898.28,2527.39,04-05-2023,2025-01-22,142,6764584185583,No,Frozen,
SKU-47132,Milk Tin,,Innoson Motors,Lagos Apapa,1886,399,1002.09,1675.03,06-12-2023,2024-12-19,76,9581348893218,0,,
SKU-91897,Indomie Carton,Cereals,Dangote Flour,Abuja Gwagwa,4580,299,1252.79,15230.25,18-09-2023,2023-12-10,728,7627185058305,1,,
